Wall time,Step,Value
1732975290.921041,199,27.751596450805664
1732975990.5989835,399,26.537919998168945
1732976944.4392831,599,23.583621978759766
1732977968.9441524,799,23.02745246887207
1732978991.0519514,999,26.8547306060791
1732979992.819683,1199,26.478710174560547
1732981028.4907844,1399,25.346527099609375
1732982079.641938,1599,23.96562385559082
1732983167.7533064,1799,21.976411819458008
1732984216.5251288,1999,24.237394332885742
1732985251.3331327,2199,23.30853843688965
1732986341.7028956,2399,24.483903884887695
1732987434.1072326,2599,27.742551803588867
1732988530.6411822,2799,23.955158233642578
1732989632.0703368,2999,25.062246322631836
1732990666.671167,3199,26.572553634643555
1732991713.0317743,3399,25.702735900878906
1732992792.8573866,3599,25.432111740112305
1732993878.6259649,3799,24.551687240600586
1732994991.2571337,3999,26.98631477355957
1732996116.591564,4199,24.849740982055664
1732997247.7617807,4399,24.929988861083984
1732998358.261098,4599,25.114044189453125
1732999458.1346898,4799,26.912464141845703
1733000578.9828565,4999,27.437854766845703
1733001683.8818514,5199,25.224319458007812
1733002781.089359,5399,27.948482513427734
1733003905.3799033,5599,26.989662170410156
1733005034.399353,5799,25.431467056274414
1733006151.563505,5999,27.263378143310547
1733007253.1392272,6199,25.89694595336914
1733008357.0496302,6399,24.658491134643555
1733009455.5142174,6599,25.110076904296875
1733010599.834447,6799,28.089609146118164
1733011721.8983896,6999,27.57714080810547
1733012980.263359,7199,26.40444564819336
1733014201.8196497,7399,27.3970890045166
1733015279.5564067,7599,28.086288452148438
1733016328.8816702,7799,20.35885238647461
1733018943.8699176,7999,28.374353408813477
1733019635.8843226,8199,27.82377052307129
1733020739.7077727,8399,26.318660736083984
1733021872.140356,8599,28.08263397216797
1733023012.8534727,8799,24.443044662475586
1733024146.8408508,8999,28.12631607055664
1733025261.0794601,9199,25.8575382232666
1733026406.3086097,9399,24.22761344909668
1733027547.370903,9599,26.001232147216797
1733028634.957151,9799,25.587718963623047
1733029721.9383178,9999,26.857696533203125
1733030794.498943,10199,24.776927947998047
1733031892.0259337,10399,27.238636016845703
1733032988.533396,10599,22.658550262451172
1733034030.204904,10799,26.13612174987793
1733035097.5884593,10999,25.71811294555664
1733036201.6533005,11199,24.218149185180664
1733037362.5082443,11399,23.002111434936523
1733038529.6781423,11599,26.986568450927734
1733039727.9456952,11799,25.126441955566406
1733040912.2438848,11999,24.256834030151367
1733042095.7493353,12199,24.704309463500977
1733043263.9162025,12399,25.319679260253906
1733044455.3796823,12599,26.62636947631836
1733045584.5426757,12799,26.77956199645996
1733046708.3267357,12999,24.457304000854492
1733047859.0338457,13199,26.7017822265625
1733049050.2091959,13399,23.389314651489258
1733050188.9394705,13599,26.32748794555664
1733051322.0116272,13799,26.610761642456055
1733052405.020122,13999,26.564781188964844
1733053519.7209764,14199,26.677888870239258
1733054660.7383163,14399,26.328086853027344
1733055839.9046826,14599,24.903043746948242
1733057007.8221667,14799,26.88740348815918
1733058131.9676785,14999,25.213438034057617
1733059336.2512474,15199,25.442543029785156
1733060521.6047475,15399,27.441865921020508
1733061659.5121586,15599,26.894500732421875
1733062800.0099683,15799,25.114885330200195
1733063910.8047218,15999,24.945358276367188
1733065084.5478046,16199,26.895349502563477
1733066192.4009585,16399,27.1253604888916
1733067208.3299248,16599,27.44640350341797
1733068305.0397735,16799,25.39642333984375
1733069429.3930278,16999,26.34372901916504
1733070561.741902,17199,25.716400146484375
1733071663.0240414,17399,23.71409797668457
1733072851.0943496,17599,25.76392936706543
1733073988.625667,17799,25.1586971282959
1733075145.151585,17999,25.690858840942383
1733076299.6490731,18199,26.4819278717041
1733077378.9985073,18399,23.703031539916992
1733078530.7914925,18599,27.40779685974121
1733079618.2785828,18799,25.997228622436523
1733080751.232457,18999,26.485246658325195
1733081912.1890004,19199,26.298643112182617
1733083036.3934913,19399,23.483718872070312
1733084207.2307608,19599,27.30306625366211
1733085399.3651612,19799,26.446691513061523
1733086554.729386,19999,27.86975860595703
