Wall time,Step,Value
1732715816.394168,199,0.0
1732716489.7706938,399,0.0
1732717439.7578454,599,0.010101010091602802
1732718435.4503345,799,0.0
1732719448.4760478,999,0.0
1732720963.3139868,1199,0.0
1732722512.857972,1399,0.0
1732724098.3278477,1599,0.0
1732725687.9450614,1799,0.0
1732727221.0372512,1999,0.0
1732728668.8722155,2199,0.0
1732730221.2221847,2399,0.0
1732731735.9909887,2599,0.0
1732733292.9411457,2799,0.0
1732734831.1999795,2999,0.0
1732736330.122253,3199,0.0
1732737866.0705593,3399,0.020408162847161293
1732739438.3757095,3599,0.0
1732741035.541618,3799,0.0
1732742614.0545704,3999,0.0
1732744211.617309,4199,0.0
1732745843.0449197,4399,0.0
1732747460.6288874,4599,0.0
1732749038.6638389,4799,0.03448275849223137
1732750642.8914514,4999,0.0
1732752276.0647101,5199,0.0
1732753869.7191951,5399,0.0
1732755581.9203506,5599,0.0
1732757187.8055744,5799,0.0
1732758804.0620606,5999,0.0
1732760449.7824018,6199,0.0
1732762170.1391451,6399,0.0
1732763883.4426198,6599,0.0
1732765583.2124438,6799,0.0
1732767346.1295488,6999,0.0
1732769111.550823,7199,0.0
1732770857.0799708,7399,0.0
1732772638.003308,7599,0.0
1732774367.9120312,7799,0.0
1732776068.410948,7999,0.0
1732777865.1118133,8199,0.0
1732779648.9320426,8399,0.0
1732781437.905817,8599,0.0
1732783214.7749176,8799,0.0
1732784985.307078,8999,0.0
1732786721.3942132,9199,0.0
1732788550.6338294,9399,0.0
1732790236.1261747,9599,0.0
1732792015.555249,9799,0.0
1732793733.794147,9999,0.0
1732795507.1942346,10199,0.0
1732797274.7986832,10399,0.0
1732799011.777012,10599,0.0
1732800733.119915,10799,0.0
1732802405.482266,10999,0.0
1732804165.3591695,11199,0.0
1732805983.8827507,11399,0.0
1732807744.126335,11599,0.0
1732809523.8611958,11799,0.0
1732811321.6927116,11999,0.0
1732813039.435181,12199,0.0
1732814826.080421,12399,0.0
1732816560.262918,12599,0.0
1732818322.2990372,12799,0.0
1732820106.6581743,12999,0.0
1732821840.6634276,13199,0.016949152573943138
1732823538.1615748,13399,0.0
1732825263.0436976,13599,0.0
1732826982.4648328,13799,0.0
1732828681.3863785,13999,0.0
1732830388.6783621,14199,0.0
1732832117.9379182,14399,0.0
1732833845.0832705,14599,0.0
1732835597.604722,14799,0.0
1732837336.8434706,14999,0.0
1732839074.5719202,15199,0.0
1732840814.762961,15399,0.0
1732842556.358115,15599,0.0
1732844256.5132213,15799,0.019607843831181526
1732845992.430618,15999,0.0
1732847685.1564572,16199,0.016393441706895828
1732849453.3518581,16399,0.0
1732851118.8430269,16599,0.02083333395421505
1732852814.5999348,16799,0.0
1732854435.114454,16999,0.0
1732856183.3323102,17199,0.0
1732857859.196861,17399,0.0
1732859625.84665,17599,0.0
1732861387.6972427,17799,0.014925372786819935
1732863108.299493,17999,0.0
1732864852.940646,18199,0.0
1732866536.2446423,18399,0.0
1732868319.264833,18599,0.0
1732870054.4373858,18799,0.0
1732871775.6322572,18999,0.0
1732873478.447681,19199,0.0
1732875170.4245496,19399,0.0
1732876845.096874,19599,0.0
1732878450.6503248,19799,0.0
1732880126.1991825,19999,0.0
