Wall time,Step,Value
1732740231.1756694,199,0.0
1732741194.1023817,399,0.0
1732742210.3561132,599,0.0
1732743233.4064329,799,0.016393441706895828
1732744256.4786186,999,0.0
1732745253.0057044,1199,0.0
1732746779.7049496,1399,0.016129031777381897
1732748402.7640836,1599,0.0
1732750043.424019,1799,0.0
1732830171.2840734,1999,0.0
1732831137.9025116,2199,0.0
1732832131.4819765,2399,0.0
1732833749.1111739,2599,0.0
1732835378.279987,2799,0.0
1732836984.3314261,2999,0.0
1732838578.90229,3199,0.014084506779909134
1732840316.0991173,3399,0.0
1732842028.6893706,3599,0.0
1732843685.6296115,3799,0.0
1732845358.4273567,3999,0.0
1732847094.5771124,4199,0.0
1732848816.6028082,4399,0.0
1732850568.0010526,4599,0.015625
1732852315.6023505,4799,0.0
1732854096.5751998,4999,0.0
1732855813.0973842,5199,0.0
1732857530.4896483,5399,0.01785714365541935
1732859276.9754546,5599,0.0
1732861055.3153815,5799,0.0
1732862808.6889362,5999,0.0
1732864608.5695384,6199,0.0
1732866453.5293286,6399,0.0
1732868265.1733413,6599,0.0
1732870063.1079476,6799,0.0
1732871911.5288866,6999,0.0
1732873752.6688256,7199,0.0
1732875542.1194103,7399,0.0
1732877372.034194,7599,0.0
1732879225.584234,7799,0.0
1732881012.4302661,7999,0.0
1732882787.270539,8199,0.0
1732884535.7141433,8399,0.0
1732886331.9073162,8599,0.0
1732888199.442796,8799,0.0
1732890064.7603264,8999,0.0
1732891914.8131175,9199,0.0
1732893716.139968,9399,0.0
1732895501.8400295,9599,0.0
1732897233.76798,9799,0.0
1732899047.6086135,9999,0.01886792480945587
1732900895.5164974,10199,0.0
1732902672.9789693,10399,0.016949152573943138
1732904496.355787,10599,0.0
1732906326.6945019,10799,0.0
1732908116.9541261,10999,0.0
1732909914.6734896,11199,0.0
1732911696.6463766,11399,0.0
1732913554.0723825,11599,0.0
1732915338.9214637,11799,0.0
1732917153.6924958,11999,0.0
1732918951.3615441,12199,0.0
1732920773.88445,12399,0.017241379246115685
1732922586.8700683,12599,0.0
1732924365.7105827,12799,0.0
1732926183.7508237,12999,0.0
1732928034.046976,13199,0.0
1732929873.7572758,13399,0.0
1732931728.3196385,13599,0.0
1732933557.0448797,13799,0.0
1732935354.7527337,13999,0.0
1732937209.1734862,14199,0.0
1732939016.4811707,14399,0.0
1732940792.011772,14599,0.0
1732942675.5901036,14799,0.0
1732944471.1309607,14999,0.0
1732946267.6739092,15199,0.02777777798473835
1732948096.3654478,15399,0.0
1732949883.2434912,15599,0.0
1732951690.48356,15799,0.0
1732953540.168642,15999,0.0
1732955373.5114985,16199,0.0
1732957221.1772814,16399,0.0
1732959036.9866872,16599,0.0
1732960841.8577323,16799,0.0
1732962708.330851,16999,0.0
1732964512.2065816,17199,0.0
1732966303.9657648,17399,0.0
1732968121.6139894,17599,0.0
1732969902.0090399,17799,0.0
1732971669.075247,17999,0.017543859779834747
1732973463.1708632,18199,0.0
1732975291.7238946,18399,0.0
1732977052.5302584,18599,0.0
1732978777.8986719,18799,0.0
1732980590.0545993,18999,0.0
1732982333.9449737,19199,0.0
1732984174.1358128,19399,0.0
1732985938.1349592,19599,0.0
1732987719.282156,19799,0.0
1732989447.1469307,19999,0.0
